,metricName,time,count,total,minimum,maximum,average,queue,metric
117,devices.connectedDevices.allProtocol,2021-12-20T00:06:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.computer-elements.CPU,Number of devices connected
118,devices.connectedDevices.allProtocol,2021-12-20T00:07:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.computer-elements.CPU,Number of devices connected
119,devices.connectedDevices.allProtocol,2021-12-20T00:08:00.0000000Z,11,13,1.0,2.0,1.18181818181818,Tx.tec.performance.computer-elements.CPU,Number of devices connected
120,d2c.telemetry.egress.success,2021-12-20T00:06:00.0000000Z,418,3554,1.0,30.0,8.50239234449761,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
121,d2c.telemetry.egress.success,2021-12-20T00:07:00.0000000Z,380,2935,1.0,30.0,7.72368421052632,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
122,d2c.telemetry.egress.success,2021-12-20T00:08:00.0000000Z,425,3346,1.0,30.0,7.87294117647059,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
123,d2c.telemetry.egress.fallback,2021-12-20T00:06:00.0000000Z,3380,3380,1.0,1.0,1.0,Tx.tec.performance.protocols.NETWORK,Number of messages sent
124,d2c.telemetry.egress.fallback,2021-12-20T00:07:00.0000000Z,2909,2909,1.0,1.0,1.0,Tx.tec.performance.protocols.NETWORK,Number of messages sent
125,d2c.telemetry.egress.fallback,2021-12-20T00:08:00.0000000Z,3208,3208,1.0,1.0,1.0,Tx.tec.performance.protocols.NETWORK,Number of messages sent
126,d2c.endpoints.egress.eventHubs,2021-12-20T00:06:00.0000000Z,33,174,1.0,20.0,5.27272727272727,,
127,d2c.endpoints.egress.eventHubs,2021-12-20T00:07:00.0000000Z,22,36,1.0,2.0,1.63636363636364,,
128,d2c.endpoints.egress.eventHubs,2021-12-20T00:08:00.0000000Z,29,138,1.0,30.0,4.75862068965517,,
129,d2c.endpoints.latency.eventHubs,2021-12-20T00:06:00.0000000Z,33,4830,32.0,300.0,146.363636363636,,
130,d2c.endpoints.latency.eventHubs,2021-12-20T00:07:00.0000000Z,22,3091,32.0,261.0,140.5,,
131,d2c.endpoints.latency.eventHubs,2021-12-20T00:08:00.0000000Z,29,4039,16.0,259.0,139.275862068966,,
132,d2c.endpoints.egress.builtIn.events,2021-12-20T00:06:00.0000000Z,385,3380,1.0,30.0,8.77922077922078,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
133,d2c.endpoints.egress.builtIn.events,2021-12-20T00:07:00.0000000Z,358,2899,1.0,30.0,8.09776536312849,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
134,d2c.endpoints.egress.builtIn.events,2021-12-20T00:08:00.0000000Z,396,3208,1.0,30.0,8.1010101010101,Tx.tec.performance.protocols.NETWORK,Number of messages successfully delivered to an endpoint (Messages/Evevnts)
135,d2c.endpoints.latency.builtIn.events,2021-12-20T00:06:00.0000000Z,385,45742,18.0,325.0,118.81038961039,Tx.tec.performance.protocols.NETWORK,Latency time between sending and arriving at an endpoint
